ALLELE	MODEL	WEIGHTALGO	LAMBDA	PCC	MSE
A1101	SMM	GD	0.02	0.75528	0.0375887
A1101	SMM	GD	0.1	0.75552	0.0375282
A1101	SMM	GD	1	0.75694	0.0370422
A1101	SMM	MC	0	0.76390	0.0366273
A1101	SMM	MC	0.02	0.76245	0.0369209
A1101	SMM	MC	0.1	0.76378	0.0367729
A1101	SMM	MC	1	0.76778	0.0359715
A1101	SMM	GD	5	0.75854	0.0360871
A1101	SMM	GD	10	0.75758	0.0358459
A1101	SMM	GD	50	0.73983	0.0389994
A1101	SMM	MC	5	0.77428	0.0347336
A1101	SMM	MC	10	0.77756	0.0344683
A1101	SMM	MC	50	0.76697	0.0413707
A0202	SMM	GD	0	0.72547	0.0455579
A0202	SMM	GD	0.02	0.72585	0.0454738
A0202	SMM	GD	0.1	0.72700	0.0452092
A0202	SMM	GD	1	0.73058	0.0440511
A0202	SMM	MC	0	0.71164	0.0474984
A0202	SMM	MC	0.02	0.72045	0.0461625
A0202	SMM	MC	0.1	0.72716	0.0443024
A0202	SMM	MC	1	0.73565	0.0425952
A0202	SMM	GD	5	0.72907	0.0429428
A0202	SMM	GD	10	0.72299	0.0431509
A0202	SMM	GD	50	0.67346	0.0499592
A0202	SMM	MC	5	0.74445	0.0405658
A0202	SMM	MC	10	0.74489	0.0408295
A0202	SMM	MC	50	0.70366	0.0568856
B2705	SMM	GD	0	0.62835	0.0103809
B2705	SMM	GD	0.02	0.62857	0.0103674
B2705	SMM	GD	0.1	0.62946	0.0103133
B2705	SMM	GD	1	0.63626	0.00987474
B2705	SMM	MC	0	0.46003	0.0234276
B2705	SMM	MC	0.02	0.42281	0.0249603
B2705	SMM	MC	0.1	0.48696	0.0218704
B2705	SMM	MC	1	0.47952	0.0196818
B2705	SMM	GD	5	0.63953	0.00922149
B2705	SMM	GD	10	0.63269	0.00936188
B2705	SMM	GD	50	0.55358	0.0114781
B2705	SMM	MC	5	0.49231	0.0168549
B2705	SMM	MC	10	0.50324	0.0159284
B2705	SMM	MC	50	0.43597	0.0204624
A6801	SMM	GD	0	0.71087	0.0439572
A6801	SMM	GD	0.02	0.71089	0.0439262
A6801	SMM	GD	0.1	0.71080	0.0438375
A6801	SMM	GD	1	0.70899	0.043303
A6801	SMM	MC	0	0.71048	0.0468616
A6801	SMM	MC	0.02	0.69696	0.0491434
A6801	SMM	MC	0.1	0.69335	0.0493841
A6801	SMM	MC	1	0.70681	0.0457486
A6801	SMM	GD	5	0.69889	0.04364
A6801	SMM	GD	10	0.68460	0.0458802
A6801	SMM	GD	50	0.57660	0.0644456
A6801	SMM	MC	5	0.73750	0.0399734
A6801	SMM	MC	10	0.72228	0.0421588
A6801	SMM	MC	50	0.66812	0.0601911
B5301	SMM	GD	0	0.60504	0.108478
B5301	SMM	GD	0.02	0.61528	0.101953
B5301	SMM	GD	0.1	0.64712	0.0841526
B5301	SMM	GD	1	0.72058	0.0537032
B5301	SMM	MC	0	0.04219	5.88326
B5301	SMM	MC	0.02	0.09228	5.69638
B5301	SMM	MC	0.1	0.26390	0.578957
B5301	SMM	MC	1	0.55989	0.10383
B5301	SMM	GD	5	0.71460	0.0547607
B5301	SMM	GD	10	0.69584	0.0602977
B5301	SMM	GD	50	0.62197	0.0875735
B5301	SMM	MC	5	0.68031	0.0608357
B5301	SMM	MC	10	0.68410	0.0624857
B5301	SMM	MC	50	0.63393	0.0983641
